"fieldName,columnLetter"
"audioNeeded,A"
"audioComplexityScore,B"
"audioTechRequested,C"
"houseSystemAvailable,D"
"zoneCount,E"
"playbackCount,F"
"monitorCount,G"
"livePerformanceFlag,H"
"riggingFlag,I"
"micCount,J"
"micComplexityScore,K"
"setupTimeWindow,L"
"setupTimeShortfall,M"
"setupRushReadable,N"
"setupRushModifier,O"
"setupPushReadable,P"
"setupPushModifier,Q"
"audioSetupHours,R"
"audioSetupTechCount,S"
"audioSetupHours/Tech,T"
"strikeTimeWindow,U"
"strikeTimeShortfall,V"
"strikeRushReadable,W"
"strikeRushModifier,X"
"strikePushReadable,Y"
"strikePushModifier,Z"
"audioBreakdownHours,AA"
"audioBreakdownTechCount,BB"
"audioBreakdownHours/Tech,CC"
"audioLoadinHours,DD"
"audioLoadoutHours,EE"
"audioLaborCost,FF"
"audioDailyRate,GG"
"audioRentalCost,HH"
