Field Name,Column Letter,Question Label,Section
clientTimestamp,A,Timestamp,Meta Intake
clientName,B,Client / Company Name,Meta Intake
eventName,C,Event or Project Name,Meta Intake
eventStartDate,D,Date/Time of event start,Meta Intake
eventEndDate,E,Date/Time of event end,Meta Intake
eventVenue,F,Venue Name and Full Address,Meta Intake
eventType,G,Event Type,Meta Intake
eventFormat,H,What format is your event?,Scheduling/Misc
eventDuration,I,"How many days will your event run (excluding setup/strike)? Enter a number. Half-days allowed (e.g., 1.5 for a day-and-a-half). Setup and strike days will be quoted separately.",Scheduling/Misc
guestCount,J,Estimated # of Guests?,Scheduling/Misc
budgetRange,K,Budget range for this project?,Scheduling/Misc
setupAccess,M,What day and time will AV crew have access to begin setup at the venue?  ,Scheduling/Misc
setupCompletion,N,What time must setup be fully completed by?  ,Scheduling/Misc
setupRushModifier,O,"Will any part of your setup require a rushed or compressed time window?""  ",Scheduling/Misc
setupPushModifier,P,Do you expect any restrictions during load-in?  ,Scheduling/Misc
techRunThrough,Q,Are any tech run-throughs scheduled? (Include date & time if known  ,Scheduling/Misc
rehearsalTrigger,R,Are any rehearsals scheduled? (Include date & time if known)  ,Scheduling/Misc
eventStartTimes,S,What time does the show start each day?  ,Scheduling/Misc
eventEndTimes,T,What time does the show end each day?  ,Scheduling/Misc
teardownAccess,U,What day and time will AV crew have access to begin teardown at the venue?  ,Scheduling/Misc
teardownCompletion,V,When must teardown be completed and all equipment cleared out of the space?,Scheduling/Misc
teardownRushModifier,W,Will any part of your strike (teardown) require a rushed or compressed time window?,Scheduling/Misc
teardownPushModifier,X,Do you expect any restrictions during load-in or load-out?  ,Scheduling/Misc
macroTechRequest,Y,Will you be needing onsite technical support from our certified AV Technicians?,Scheduling/Misc
overtimeTrigger,Z,"Will your event require overnight technical support (12am–7am), support during a holiday, or on-call availability? (Check all that apply)",Scheduling/Misc
salesAssistFlag,AA,Would you like help determining what AV services you'll need?,Scheduling/Misc
videoTrigger,AB,"Do you need any video support (projectors, screens, IMAG, LED wall)?",Video: General
videoTechRequested,AC,Will you need a technician on-site to operate video equipment or support playback?,Video: General
screenNeeded,AD,Will you be needing projection SCREENS for your event?,Video: Screens & Projectors
ScreenSupportMethod,AE,"Will these screens be ground supported or hung (""flown"") from the ceiling?",Video: Screens & Projectors
screenCount,AF,How many SCREENS you will need for your event?,Video: Screens & Projectors
screenSize,AG,What size Screen(s) will do you need?,Video: Screens & Projectors
screenProjCombo,AH,Would you like us to provide the projectors for these screens?,Video: Screens & Projectors
